id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,jumlah_bantuan_sosial,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010001,MALASARI,1/21/32,NANGGUNG,32.01.21.2001,MALASARI,95,KRTS,2020
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010002,BANTAR KARET,1/21/32,NANGGUNG,32.01.21.2004,BANTARKARET,55,KRTS,2020
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010003,CISARUA,1/21/32,NANGGUNG,32.01.21.2003,CISARUA,122,KRTS,2020
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010004,CURUG BITUNG,1/21/32,NANGGUNG,32.01.21.2002,CURUGBITUNG,35,KRTS,2020
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010005,NANGGUNG,1/21/32,NANGGUNG,32.01.21.2007,NANGGUNG,30,KRTS,2020
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010006,PANGKAL JAYA,1/21/32,NANGGUNG,32.01.21.2009,PANGKALJAYA,53,KRTS,2020
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010007,SUKALUYU,1/21/32,NANGGUNG,32.01.21.2010,SUKALUYU,8,KRTS,2020
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010008,HAMBARO,1/21/32,NANGGUNG,32.01.21.2005,HAMBARO,8,KRTS,2020
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010009,KALONG LIUD,1/21/32,NANGGUNG,32.01.21.2006,KALONGLIUD,8,KRTS,2020
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010010,PARAKAN MUNCANG,1/21/32,NANGGUNG,32.01.21.2008,PARAKANMUNCANG,59,KRTS,2020
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010011,BATU TULIS,1/21/32,NANGGUNG,32.01.21.2011,BATU TULIS,58,KRTS,2020
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020001,PURASARI,1/14/32,LEUWILIANG,32.01.14.2002,PURASARI,41,KRTS,2020
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020002,PURASEDA,1/14/32,LEUWILIANG,32.01.14.2008,PURASEDA,19,KRTS,2020
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020003,KARYASARI,1/14/32,LEUWILIANG,32.01.14.2003,KARYASARI,48,KRTS,2020
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020004,PABANGBON,1/14/32,LEUWILIANG,32.01.14.2004,PABANGBON,146,KRTS,2020
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020005,KARACAK,1/14/32,LEUWILIANG,32.01.14.2005,KARACAK,173,KRTS,2020
17,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020006,BARENGKOK,1/14/32,LEUWILIANG,32.01.14.2006,BARENGKOK,32,KRTS,2020
18,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020007,CIBEBER II,1/14/32,LEUWILIANG,32.01.14.2010,CIBEBER II,40,KRTS,2020
19,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020016,CIBEBER I,1/14/32,LEUWILIANG,32.01.14.2009,CIBEBER I,75,KRTS,2020
20,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020017,LEUWIMEKAR,1/14/32,LEUWILIANG,32.01.14.2007,LEUWIMEKAR,9,KRTS,2020
21,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020018,LEUWILIANG,1/14/32,LEUWILIANG,32.01.14.2001,LEUWILIANG,46,KRTS,2020
22,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020019,KAREHKEL,1/14/32,LEUWILIANG,32.01.14.2011,KAREHKEL,151,KRTS,2020
