id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,jumlah,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010001,MALASARI,1/21/32,NANGGUNG,32.01.21.2001,MALASARI,1075,KRTS,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010002,BANTAR KARET,1/21/32,NANGGUNG,32.01.21.2004,BANTARKARET,1277,KRTS,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010003,CISARUA,1/21/32,NANGGUNG,32.01.21.2003,CISARUA,1089,KRTS,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010004,CURUG BITUNG,1/21/32,NANGGUNG,32.01.21.2002,CURUGBITUNG,1092,KRTS,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010005,NANGGUNG,1/21/32,NANGGUNG,32.01.21.2007,NANGGUNG,851,KRTS,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010006,PANGKAL JAYA,1/21/32,NANGGUNG,32.01.21.2009,PANGKALJAYA,1070,KRTS,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010007,SUKALUYU,1/21/32,NANGGUNG,32.01.21.2010,SUKALUYU,919,KRTS,2019
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010008,HAMBARO,1/21/32,NANGGUNG,32.01.21.2005,HAMBARO,856,KRTS,2019
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010009,KALONG LIUD,1/21/32,NANGGUNG,32.01.21.2006,KALONGLIUD,758,KRTS,2019
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010010,PARAKAN MUNCANG,1/21/32,NANGGUNG,32.01.21.2008,PARAKANMUNCANG,816,KRTS,2019
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010011,BATU TULIS,1/21/32,NANGGUNG,32.01.21.2011,BATU TULIS,692,KRTS,2019
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020001,PURASARI,1/14/32,LEUWILIANG,32.01.14.2002,PURASARI,2145,KRTS,2019
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020002,PURASEDA,1/14/32,LEUWILIANG,32.01.14.2008,PURASEDA,1398,KRTS,2019
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020003,KARYASARI,1/14/32,LEUWILIANG,32.01.14.2003,KARYASARI,1448,KRTS,2019
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020004,PABANGBON,1/14/32,LEUWILIANG,32.01.14.2004,PABANGBON,1216,KRTS,2019
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020005,KARACAK,1/14/32,LEUWILIANG,32.01.14.2005,KARACAK,2118,KRTS,2019
